ticker,corp_name,sector,corp_code,quarter,price,shares
060310,3S,벤처기업부,KR7060310000,1분기,2200.0,53059040
060310,3S,벤처기업부,KR7060310000,2분기,2245.0,53059040
060310,3S,벤처기업부,KR7060310000,3분기,1902.0,53059040
054620,APS,중견기업부,KR7054620000,1분기,5740.0,18394221
054620,APS,중견기업부,KR7054620000,2분기,5020.0,18394221
054620,APS,중견기업부,KR7054620000,3분기,4570.0,18394221
265520,AP시스템,우량기업부,KR7265520007,1분기,16950.0,15050821
265520,AP시스템,우량기업부,KR7265520007,2분기,17000.0,15050821
265520,AP시스템,우량기업부,KR7265520007,3분기,19520.0,15050821
211270,AP위성,우량기업부,KR7211270004,1분기,11240.0,15082304
211270,AP위성,우량기업부,KR7211270004,2분기,13000.0,15082304
211270,AP위성,우량기업부,KR7211270004,3분기,12130.0,15082304
139050,BF랩스,관리종목(소속부없음),KR7139050009,1분기,2805.0,8644551
139050,BF랩스,관리종목(소속부없음),KR7139050009,2분기,2805.0,8644551
139050,BF랩스,관리종목(소속부없음),KR7139050009,3분기,2805.0,8644551
126600,BGF에코머티리얼즈,우량기업부,KR7126600006,1분기,2590.0,62766899
126600,BGF에코머티리얼즈,우량기업부,KR7126600006,2분기,2940.0,62766899
126600,BGF에코머티리얼즈,우량기업부,KR7126600006,3분기,2895.0,62766899
083790,CG인바이츠,벤처기업부,KR7083790006,1분기,2185.0,76894182
083790,CG인바이츠,벤처기업부,KR7083790006,2분기,1809.0,76894182
083790,CG인바이츠,벤처기업부,KR7083790006,3분기,1640.0,76894182
035760,CJ ENM,중견기업부,KR7035760008,1분기,56300.0,21929154
035760,CJ ENM,중견기업부,KR7035760008,2분기,74900.0,21929154
035760,CJ ENM,중견기업부,KR7035760008,3분기,71100.0,21929154
311690,CJ 바이오사이언스,기술성장기업부,KR7311690002,1분기,10010.0,13065462
311690,CJ 바이오사이언스,기술성장기업부,KR7311690002,2분기,9500.0,13065462
311690,CJ 바이오사이언스,기술성장기업부,KR7311690002,3분기,9760.0,13065462
051500,CJ프레시웨이,우량기업부,KR7051500007,1분기,22650.0,11871586
051500,CJ프레시웨이,우량기업부,KR7051500007,2분기,27850.0,11871586
051500,CJ프레시웨이,우량기업부,KR7051500007,3분기,27250.0,11871586
058820,CMG제약,중견기업부,KR7058820002,1분기,1949.0,147842183
058820,CMG제약,중견기업부,KR7058820002,2분기,1986.0,147842183
058820,CMG제약,중견기업부,KR7058820002,3분기,1834.0,147842183
056730,CNT85,벤처기업부,KR7056730005,1분기,660.0,74111186
056730,CNT85,벤처기업부,KR7056730005,2분기,808.0,74111186
056730,CNT85,벤처기업부,KR7056730005,3분기,706.0,74111186
065770,CS,벤처기업부,KR7065770000,1분기,1590.0,19411130
065770,CS,벤처기업부,KR7065770000,2분기,997.0,19411130
065770,CS,벤처기업부,KR7065770000,3분기,952.0,19411130
083660,CSA 코스믹,중견기업부,KR7083660001,1분기,660.0,62829459
083660,CSA 코스믹,중견기업부,KR7083660001,2분기,2345.0,62829459
083660,CSA 코스믹,중견기업부,KR7083660001,3분기,804.0,62829459
477760,DB금융스팩12호,SPAC(소속부없음),KR7477760003,1분기,2075.0,5840000
477760,DB금융스팩12호,SPAC(소속부없음),KR7477760003,2분기,2090.0,5840000
477760,DB금융스팩12호,SPAC(소속부없음),KR7477760003,3분기,2090.0,5840000
099520,DGI,관리종목(소속부없음),KR7099520009,1분기,1284.0,45281824
099520,DGI,관리종목(소속부없음),KR7099520009,2분기,1284.0,45281824
099520,DGI,관리종목(소속부없음),KR7099520009,3분기,1284.0,45281824
290120,DH오토리드,우량기업부,KR7290120005,1분기,2140.0,15824249
290120,DH오토리드,우량기업부,KR7290120005,2분기,2570.0,15824249
290120,DH오토리드,우량기업부,KR7290120005,3분기,2320.0,15824249
025440,DH오토웨어,중견기업부,KR7025440009,1분기,664.0,48781224
025440,DH오토웨어,중견기업부,KR7025440009,2분기,791.0,48781224
025440,DH오토웨어,중견기업부,KR7025440009,3분기,853.0,48781224
068790,DMS,투자주의환기종목(소속부없음),KR7068790005,1분기,9140.0,22570224
068790,DMS,투자주의환기종목(소속부없음),KR7068790005,2분기,9140.0,22570224
068790,DMS,투자주의환기종목(소속부없음),KR7068790005,3분기,9140.0,22570224
241520,DSC인베스트먼트,중견기업부,KR7241520006,1분기,4225.0,27000000
241520,DSC인베스트먼트,중견기업부,KR7241520006,2분기,7400.0,27000000
241520,DSC인베스트먼트,중견기업부,KR7241520006,3분기,7420.0,27000000
180400,DXVX,관리종목(소속부없음),KR7180400004,1분기,1777.0,98429432
180400,DXVX,관리종목(소속부없음),KR7180400004,2분기,1844.0,98429432
180400,DXVX,관리종목(소속부없음),KR7180400004,3분기,2115.0,98429432
418620,E8,기술성장기업부,KR7418620001,1분기,2302.0,19850477
418620,E8,기술성장기업부,KR7418620001,2분기,4648.0,19850477
418620,E8,기술성장기업부,KR7418620001,3분기,2257.0,19850477
245620,EDGC,관리종목(소속부없음),KR7245620000,1분기,415.0,138493951
245620,EDGC,관리종목(소속부없음),KR7245620000,2분기,415.0,138493951
245620,EDGC,관리종목(소속부없음),KR7245620000,3분기,415.0,138493951
037370,EG,벤처기업부,KR7037370004,1분기,5880.0,8624972
037370,EG,벤처기업부,KR7037370004,2분기,5830.0,8624972
037370,EG,벤처기업부,KR7037370004,3분기,5220.0,8624972
050120,ES큐브,중견기업부,KR7050120005,1분기,2660.0,13564086
050120,ES큐브,중견기업부,KR7050120005,2분기,2860.0,13564086
050120,ES큐브,중견기업부,KR7050120005,3분기,2840.0,13564086
214270,FSN,중견기업부,KR7214270001,1분기,1272.0,43690959
214270,FSN,중견기업부,KR7214270001,2분기,3560.0,43690959
214270,FSN,중견기업부,KR7214270001,3분기,2295.0,43690959
130500,GH신소재,우량기업부,KR7130500002,1분기,2435.0,14545052
130500,GH신소재,우량기업부,KR7130500002,2분기,2890.0,14545052
130500,GH신소재,우량기업부,KR7130500002,3분기,2615.0,14545052
900290,GRT,외국기업(소속부없음),HK0000307485,1분기,2945.0,80850000
900290,GRT,외국기업(소속부없음),HK0000307485,2분기,2955.0,80850000
900290,GRT,외국기업(소속부없음),HK0000307485,3분기,3050.0,80850000
083450,GST,우량기업부,KR7083450007,1분기,18060.0,18430000
083450,GST,우량기업부,KR7083450007,2분기,19420.0,18430000
083450,GST,우량기업부,KR7083450007,3분기,23200.0,18430000
297890,HB솔루션,우량기업부,KR7297890006,1분기,2395.0,73140914
297890,HB솔루션,우량기업부,KR7297890006,2분기,2400.0,73140914
297890,HB솔루션,우량기업부,KR7297890006,3분기,2700.0,73140914
440290,HB인베스트먼트,중견기업부,KR7440290005,1분기,1654.0,27506430
440290,HB인베스트먼트,중견기업부,KR7440290005,2분기,2125.0,27506430
440290,HB인베스트먼트,중견기업부,KR7440290005,3분기,2195.0,27506430
078150,HB테크놀러지,우량기업부,KR7078150000,1분기,2005.0,92715916
078150,HB테크놀러지,우량기업부,KR7078150000,2분기,1912.0,92715916
078150,HB테크놀러지,우량기업부,KR7078150000,3분기,2070.0,92715916
225530,HC보광산업,우량기업부,KR7225530005,1분기,4080.0,36338727
225530,HC보광산업,우량기업부,KR7225530005,2분기,3630.0,36338727
225530,HC보광산업,우량기업부,KR7225530005,3분기,3005.0,36338727
060560,HC홈센타,중견기업부,KR7060560000,1분기,797.0,126940008
060560,HC홈센타,중견기업부,KR7060560000,2분기,787.0,126940008
060560,HC홈센타,중견기업부,KR7060560000,3분기,706.0,126940008
376270,HEM파마,기술성장기업부,KR7376270005,1분기,23050.0,7181727
376270,HEM파마,기술성장기업부,KR7376270005,2분기,20200.0,7181727
376270,HEM파마,기술성장기업부,KR7376270005,3분기,27200.0,7181727
195940,HK이노엔,우량기업부,KR7195940002,1분기,34800.0,28329891
195940,HK이노엔,우량기업부,KR7195940002,2분기,42800.0,28329891
195940,HK이노엔,우량기업부,KR7195940002,3분기,44400.0,28329891
028300,HLB,중견기업부,KR7028300002,1분기,55100.0,133117504
028300,HLB,중견기업부,KR7028300002,2분기,49100.0,133117504
028300,HLB,중견기업부,KR7028300002,3분기,37950.0,133117504
278650,HLB바이오스텝,중견기업부,KR7278650007,1분기,1698.0,87005539
278650,HLB바이오스텝,중견기업부,KR7278650007,2분기,1475.0,87005539
278650,HLB바이오스텝,중견기업부,KR7278650007,3분기,1352.0,87005539
